id,parent,reply,character
18502,They said the both of you.,That is a mistake.,Jim
18503,All right.,All right.,Jim
18504,"Okay, do you like hip-hop? Do you like indie rock?","Yes, I love both of those so much. A lot of ’em.",Michael
18505,I felt terrorized.,Come on.,Dwight
18506,Oh.,Eiffel Tower.,Dwight
18507,"Wish I had my cell phone, but I left it inside. So…",Would that make you happy?,Dwight
18508,I’ll drink to that. I’m starting at a company this week.,"Oh, really?",Michael
18509,Yeah.,"Well, then I guess you’re ready for this.",Jim
18510,"Oh, look at this. Tuna wrap.",Okay.,Jim
18511,Jonas Salk.,Who?,Michael
18512,That’s just a classic no-win situation.,Thank you.,Dwight
18513,I have a shirt like that in my car.,"Okay, yeah, why don’t you go get it?",Michael
18514,"Hey, I’m WUPHF.",I’m Facebook.,Michael
18515,Really? That’s great.,I know.,Jim
18516,"Let’s not get crazy and ruin our no-nonsense streak, all right? So, for instance, if you’re expecting a fax today, please don’t yell out, “Michael J. Fax from Fax to the Future.” Ok? That’s nonsense.",Question.,Pam
18517,Sixty-nine cup of noodles.,"Which we realize sounds crass, but, it… is his favorite number.",Jim
18518,Right.,Can I listen to my music at a low volume?,Dwight
18519,You know what? Let me take Roy.,"All right, switch. Take it up a notch, come on.",Michael
18520,"Hey, thank you so much for driving me down for my interview.","Totally, no problem. What are you interviewing for, by the way, my assistant? Or…",Jim
18521,You don’t–,Don’t move. And disarm now!,Dwight
18522,"Yeah, hi. Is Mr. Decker around? Oh, well, could you just have him call me after lunch? Thank you.","“I pledge to always keep an open mind and an open heart.” I do believe… in that part of the pledge I that just read. But a pledge? Come on. I mean who are we, the Girl Scouts? No. Look… the guy, “Mr. Brown,” he got us halfway there. He got us talking. Well, no. I got us talking. He got us nothing. He insulted us and he abandoned us. You call that diversity training? I don’t. Were there any connections between any of us? Did anyone look each other in the eye? Was there any emotion going on? No. Where was the heart? I didn’t see any heart. Where was my Oprah moment? OK, get as much done as you can before lunch because, afterward, I’m going to have you all in tears.",Michael
18523,Monkey pee all over you.,"That rhymes, so what have we on the docket today?",Jim
18524,Are you with us Mike?,Yeah-es.,Michael
18525,"Quiet, you.",I agree. He’d land on his feet.,Michael
18526,"Watch out Kelly, he might sucker punch you.","I didn’t sucker punch you, Michael.",Dwight
18527,Is-,Me.,Dwight
18528,Other than me.,"Well, there is the emergency disaster mode for the org chart. This gives me full authority over every single person in the office.",Dwight
18529,"Don’t you think it’s better to tell him the truth now? You know, rather than waste more of his time?",I think I’m gonna go.,Jim
18530,"Oh, I’m really worried that I’m going to say it.","No, Michael.",Pam
18531,Talk about it now.,Pam.,Jim
18532,Um… ‘Fifty signs your priest might be Michael Jackson.’,...,Michael
18533,"Oh, this was such a stupid idea! This was so stupid. I am such a stupid idiot. I let everybody down. Everybody hates me. I lost everybody’s jobs. Nobody likes me anymore!",Oh my God!,Dwight
18534,"So this is like, um, an organization station…",Oooooh!,Pam
18535,"Wait, so you installed a doomsday device?","No, it’s an accountability booster.",Dwight
18536,You just said that we’re gonna be gone…?,Do I have any messages?,Michael
18537,"Oh, Dwight. I’m so sorry. Were you guys close?","I would say that she raised me, but let’s not kid each other. I raised myself. She was, however, the closest thing I had to a mother.",Dwight
18538,"So apparently Pam went out last night, and accidentally called my work phone at 3:00 in the morning.",I’m not drunk.,Pam
18539,300.,"300, we have 300. 300 going once. 300 going twice.",Michael
18540,One Charlie’s Angels. One. Let’s go.,"Okay, this is just a Christmas card from your paper supplier. No one’s putting this on their fridge.",Pam
18541,Yep.,"For real, you’re not kidding?",Pam
18542,Here’s your knife. Here’s your duct tape.,"Alright, very good. Ahh, OK.",Michael
18543,What’s the pink?,Menstrual cycles.,Dwight
18544,Really?,"I’m writing one, yeah.",Michael
18545,What the hell?!,Things were not this bad when just Michael was manager.,Dwight
18546,You made me wrap it. I thought it was over the line. I just-,"Okay, you know what that is? You know what that is? That is… a psyche. Psyche. So, that is not my real gift to Toby.",Michael
18547,What!?,Could it be that Agent Michael Scarn has finally found his Catherine Zeta?,Jim
18548,Okay.,Eight?,Dwight
18549,Oh my God!,BAAAAT! BAT! NO! EVERYONE REMAIN CALM! There it goes!,Dwight
18550,That’s where they remove the uterus.,"Oh God! Dwight, no. I’m trying to write something funny here, okay. What am I going to do with a removed uterus?",Michael
18551,"Ah, hey.",Oh my God.,Pam
18552,"Oh nonsense , no way, no. Why don’t, why don’t I take you out to lunch? My treat.","No, that’s alright, thank you though. It’s, I, gotta do some cleaning, should probably stick around here.",Jim
18553,Still on speaker?,Ummm… I don’t know.,Michael
18554,"Oh, I know, I know. It’s just… I’m sorry. It’s just these painkillers that I started taking since the surgery. Ohhh! They make my moods totally unpredictable! Wow! What am I gonna do?",I don’t know. Well I guess… you could come and stay at my condo. I think I could back out of the sale. Probably get some negative feedback on my eBay profile.,Michael
18555,Yeah.,"I’m sorry, he’s not usually like that.",Pam
18556,Who?,"Everybody, except Stanley.",Michael
18557,For the past few months I’ve been sending Dwight letters from the CIA.,Are you serious?,Jim
18558,"Michael, I have Jan on the line.","Oh, great, put her through.",Michael
18559,Pam.,Yep.,Pam
18560,Oh-,As a human being.,Pam
18561,Hello.,Ah! You must be Andy Bernard. Aloha and welcome!,Michael
18562,She lets me buy her and her friends some wine coolers for a dinner party she’s going to.,You shouldn’t be talking about that.,Jim
18563,Really?,Yeah. So… and Andy is gay.,Michael
18564,"All right, guys. It didn’t work out for any of us, so… we’re still on the same team. Let me get these.",No. Let him get his own. It’s Syracuse money.,Dwight
18565,This is Karen Filippelli. Please leave a message.,"Not bad, but you are Italian so… try it more Italian.",Jim
18566,My theory is that…,…The one they picked… the one you’ll know by… don’t you ever ask them why… if I told you would cry… you never look at them and sigh… and know they love you…,Michael
18567,Really?,Yeah?,Jim
18568,Paper.,"That’s called card stock. That’s what you’re feeling. Now what you’re feeling inside is confusion, butterflies, exhilaration… You’re thinking, “Am I good enough for this job? Do I have what it takes?” And I think we both know the answer. We’ll find that out together. You can keep that.",Michael
18569,"Well, I think I can save us some time, Dwight Schrute has won every single item here!","Thank you very much! All I had to do was look at the prices, idiots! Suck it!",Dwight
18570,Just sent it.,What about the rest of you?,Michael
18571,I had IT install the updated Powerpoint on the computer so you can use it for the presentation. I really want people there using Powerpoint.,"Okay, yeah, I dunno. I dunno, I think those IT guys messed up.",Michael
18572,"We gotta celebrate! Hey, I got an idea, I got an idea. I can marry you right now, as captain of the ship!",Yes! I can marry you as regional manager of Dunder-Mifflin!,Michael
18573,Really?,"Yeah, she’s doing really well.",Jim
18574,I sure hope not.,Me too.,Dwight
18575,David’s gone. Alan’s gone. We’re all gone.,Okay. We haven’t gone under. We’ve been sold and that can mean many different things.,Jim
18576,Yeah.,"I have to say, I think the problem with that whole thing…",Michael
18577,"Okay, champagne.",Happy.,Michael
18578,Thinking–,Do it. Shake my hand. You will sell me this car. Shake my hand.,Dwight
18579,"“Hello. I am Michael Scott, Regional Manager of Dunder Mifflin Scranton. By now you are probably sick of hearing about Dunder Mifflin and our embarrassing watermark boner. Let me tell you something. Something from the heart. I am not leaving this office. It will take a SWAT team, to remove me from this office, and maybe not even that.”","Uh, you could never withstand a SWAT team.",Dwight
18580,Jim does a really good one. Do yours.,"Oh, guys. I really refuse to participate. “Michael, can I have an advance on my paycheck because a Mrs. Fields Cookie just opened up at the mall.”",Jim
18581,Here we go.,Here we go. Alright!,Michael
18582,"No seriously. You should have an M&M, they’re really good.",…ok.,Dwight
18583,They said this afternoon. They’re waiting on a second opinion.,"Oh, okay.",Jim
18584,Yeah.,Ok. See you soon.,Michael
18585,"No, I don’t.",Just take the parrot.,Jim
18586,Yes! How are you going to cook every meal of the day in one kitchen?,"Hey, Ryan, are you ok?",Pam
18587,Just keep him awake.,It smells like chicken soup.,Dwight
18588,Phyllis?,Yeah I told her a long time ago she could do it.,Jim
18589,What?,You’re breathing very heavily.,Jim
18590,Can I speak to you a minute?,Um… yes.,Jim
18591,For what?,You broke up with AJ weeks ago.,Michael
18592,"Oh honey. I’m not home, very often. And uh, me and my relatives, they take up the guesthouse. I think you should check with my office, before you book any dates, okay?","You know what, in the spirit of full disclosure, I have actually reserved a bunch of different seats on a bunch of different flights, but there are a couple of flights that only have two tickets left, so I think we should pull the trigger and –",Michael
18593,I gotcha one.,"Oh wow, thank you.",Jim
18594,You mean the clients you stole from us.,"Yeah , aren’t we getting those clients back?",Dwight
18595,"No, sh- she didn’t. I’m gonna read it.",No.,Pam
18596,"Wait, you alright?",Yes.,Pam
18597,Is it that obvious? No- hey…,"Mmm! Good pate, right? Oscar made it. Have you met Oscar?",Pam
18598,So you sure you remembered everything for your trip?,"Yeah, I think so.",Jim
18599,"No, I do.",But not to us.,Pam
18600,"It’s a little form, says “I did not do it.”","There is no reason for anyone here to sign this, because I know everything there is to know about these people. I know when their birthdays are, I know what their favorite kind of cake is, I know what color streamers they like…",Michael
18601,"You didn’t poison me, it’s just stress.",Okay.,Jim
18602,Eww.,… still burned in my eyes.,Pam
18603,Earlier today.,Awww!,Dwight
18604,"Its lunch time, and no sign of anyone coming in or out. Which means they are not taking new customers out to lunch.",Mm hmm .,Michael
18605,Where are they?,"It was, uh in the authentic design, right? So I mean, you really felt like Michael Jordan was wearing these shoes, so …",Jim
18606,"I don’t know. I don’t know. I don’t know what the best play is. Do we tear everything up, or do we buy a horse on the Internet? I mean, I don’t know what to do. What do you think?",I know. I know what to do.,Pam
18607,Get in!,"OK, what are you —",Jim
18608,So I kept on asking and they finally threw me out of the store in front of all my friends.,"Did you, or did you not get Sue Grafton?",Michael
18609,"I bet you know. Don’t think, just answer. What do you want to do about Jan?",I wanna break up with Jan. Wow. I wanna break up with Jan.,Michael
18610,What? Really?,Yeah!,Jim
18611,Um… I don’t think so.,No? Um… Check your spam folder.,Michael
18612,"Michael, we have a lot of work to do.",What?,Michael
18613,"Okay, go, go, go, go!",Let’s go!,Dwight
18614,"We were talking about animals, he gives me his cell phone number. He was just dying for me to have it.","Okay, Oscar, I’m not saying you’re not dreamy, because you are, but isn’t it possible that he was just schmoosing a voter?",Jim
18615,"That’s cool. Hey, you know what’s even cooler than triceratops? Every other dinosaur that ever existed.",Didn’t see that one coming.,Jim
18616,All right. I can do that. Then what?,Then make him pitch to you.,Dwight
18617,"Oh, there it is. J1.",But I don’t have any…,Dwight
18618,Are you sure?,"Will you just talk to them, please? Pam just knew!",Jim
18619,Why should we help you?,Because we’re friends.,Jim
18620,Alright.,"You ever been to Scranton, Jan? Dar de-",Michael
18621,What.,"I, uh, see that you… gave me that form that I asked you to give me, Stanley the manly, so thank you for that. I guess we are back to normal.",Michael
18622,I made a suggestion at the meeting that was good. You were there.,"How do I put this delicately? Does her family owe your family something, in terms of a past injustice?",Michael
18623,"Yeah, sold about forty thousand.",Hey!,Michael
18624,Thank you.,Good. Bom bom bom-bom bom. Come on Olympics of Suffering right here. Slavery versus the Holocaust. Come on.,Michael
18625,Okay.,Alright. Why don’t you just-,Jim
18626,We get that money for hiring an ex-convict.,I didn’t hire an ex-convict. Unless they mean Toby. Convicted rapist. … I’m just kidding.,Michael
18627,"Jim, they refer to it as Flonkerton.",Hum.,Jim
18628,No! No no!,A bat! Impressive…,Dwight
18629,Uh-huh. Right. And ruin their cloaks? Do you have any idea how expensive wool is in Transylvania? ‘Cause of the euro.,"Well, other things you can do to help cut down on the spread of disease are to wash your hands regularly. Don’t come in if you’re sick.",Pam
18630,"OK, great, listen to me. Listen to me. No, no, I know. Will you just let me tell you one thing, please?","Yes, you may tell me one thing. Wait, you want to borrow money?",Dwight
18631,I don’t know. He looks pretty scrappy.,"Unless he has a shiv, in which case it wouldn’t be a fair fight.",Dwight
18632,"Well, a lot of people are doing that. And there don’t seem to be any consequences. And they say the rates have never been lower.",So you would think that’s a good idea for me to do?,Michael
18633,So I closed the door but the image of his…,Baquette.,Jim
18634,Thanks Janet.,Thanks so much Earl.,Dwight
18635,Three months.,Could be.,Dwight
18636,Tell you what. I’ll give you part three of part two. Not gonna give you a whole part.,Okay.,Jim
18637,This is a tiny resume. Papa Smurf! Come back to the mushroom. From The Smurfs movie.,"Yeah, I’ve seen that with my kids. Um, it is tiny, but I’ve actually been commissioned by the City of Scranton to paint a mural-",Pam
18638,Yeah.,Okay.,Michael
18639,"Michael, you know how to, um -change a wheel, right?","Uh, yeah. Yep. Um… Could somebody grab me the lever, and I will…",Michael
18640,Take this thing.,My… It’s not my fault you don’t understand German; I’ve been telling you to take it for years!,Dwight
18641,I think I’ll pass. The only hot chocolate I’m into is Viva A Fox.,Can I talk to you a second?,Jim
18642,"About my turban, maybe?","Nope, nope. I actually wear a turban sometimes. Wanna see it?",Michael
18643,…So help us out.,"Wish I could, but I can’t. Well can, but won’t. Should, maybe, but shorn’t.",Michael
18644,"You guys, this has to stop. Someone could have really gotten hurt.","What if Meredith was taking her smoking break below that window? You know what would have happened? The shards of glass would have shaved her face right off. And, yes, it might have been funny. But it also would have been incredibly tragic.",Michael
18645,"Oh, it is on like a prawn who yawns at dawn.","Stop doing rhyming poetry. Just tell them, please. God, the simplest thing.",Dwight
18646,It was me.,What was you? You were the leak?,Jim
18647,"No way, a 280?","Wow, that’s impressive.",Pam
18648,No.,"Um, these are the crime statistics for the surrounding square mile over the past four years.",Dwight
18649,Sounds like Cece.,"Okay, I think everybody just needs to relax.",Jim
18650,"You’re not as scary as Book Face, over there.",Yes. I am the popular social networking site known as Book Face.,Jim
18651,"Like, an Indian Halloween?","An Indian Halloween. Okay, great. Pam, could you put Jan on, please?",Michael
18652,"Look, most relationships have their rough patches. You just have to push through it sometimes.","Yeah, that’s smart.",Michael
18653,"Hey, it’s 12:20; where the hell’s Dwight?",Ummm… no idea.,Jim
18654,"Ok, here we go. Alright, come on.",Kiyah!,Dwight
18655,What?,She asked me for a ride and so I am going to give her a ride home.,Michael
18656,Daddy? She’s ready to push.,Okay.,Jim
18657,Don’t be shy! Dwight! Let’s do this!,Do this. Come on. Ready?,Dwight
18658,"No, no. You’re being too hard on yourself. We had a very truncated rehearsal time.","Let’s grab some ice cream, go back to the office, and finish what we started.",Pam
18659,I’m bringing someone.,Really?,Dwight
18660,Parkour!,Extreme! Parkour!,Dwight
18661,"Well, when he asked me to look up his ancestry online, I remembered that news story about Michelle Obama having white relatives, and I just knew he would eat that up!",So he’s not related to Michelle Obama?,Pam
18662,"Wrong. Toby, this is an orientation not a borientation. Okay. Do not worry. All of your questions are about to be answered. Cell phones and pagers off, please.","Oh, this looks promising.",Jim
18663,"In our society, a black man can be arrested for almost anything. He was probably at a sporting event and… saw some people pushing each other, and he intervened.",Why would anyone go to jail for that?,Pam
18664,"Dunder Mifflin, this is Jim.","Oh my God, what is going on, is Dwight ok?",Pam
18665,"No. No, I meant about being single today.",Oh. Meh.,Dwight
18666,Michael’s a genius.,Right.,Michael
18667,"Yeah, she said she corrected him five times.",‘Gy-na’ said that?,Dwight
18668,"This doesn’t concern you man, you need to walk away.","Oh really, I’m sorry I thought this was a free country. I didn’t know we were in communist Sweden.",Dwight
18669,"You know what, we don’t have to deal with this. I am going to Google sulfur maps.","Michael, it’s Phyllis.",Dwight
18670,No.,As Assistant Regional Manager…,Dwight
18671,Look at his face! Look at his face!,What are we doing?,Jim
18672,How?,You gotta have sex with a woman.,Jim
18673,I wasn’t attempting to compliment you.,"Well, you have…",Dwight
18674,Thank you.,It’s nice to see you.,Michael
18675,He’s running!,Damn it!,Dwight
18676,Hi Michael how are you?,"Hi, I am well, how are you?",Michael
18677,I’m not going inside.,Alright. First thing in the morning then.,Dwight
18678,"Oh, great.","So, let’s say my teeth turn to liquid and then, they drip down the back of my throat. What would you call that?",Pam
18679,Hey.,Hi.,Pam
18680,Because I don’t want it getting back to Sabre that we’re yelling at assistants. I think it would reflect poorly on us.,Who’s gonna tell on us? Gabe?,Dwight
18681,C’mon. What are you doing? Mine was a part of my hilarious joke.,Mine was retribution. What are you doing? No more knock-knock jokes. That’s it.,Michael
18682,Why?,Can you believe… cause I know paper. I know everything there is to know about paper.,Michael
18683,Hi.,"Look, okay, I think we’re all adults here, and it has always been my understanding that we have an open relationship.",Michael
18684,"Hey, Michael, accounting needs your approval on-","Yeah, I’m busy right now.",Michael
18685,"Big idea: double wedding. Me, Angela, you, Holly.","No, we would never do that. And if we did, it would be with Jim and Pam.",Michael
18686,"Hi, buddy.","Ok. Um, new agenda item. Phillip will be joining us in the office today.",Dwight
18687,What you doing?,Freecell.,Jim
18688,"Hi, Pam.",Hi.,Pam
18689,How dare you all attack him like this.,"Oh, stop it Dwight.",Michael
18690,What was?,Have you ever had a conversation with Kelly where she didn’t go on for 15 minutes without taking a breath?,Pam
18691,He plays piano?,No. Roy? No.,Pam
18692,What?,I’m missing my scarf. Oh.,Pam
18693,No.,"You’re probably worried about pleasing Bob. A lot of pressure. Phyllis, did you break wind? It’s okay, if you did. It’s a very natural reaction. It’s your wedding. And you’re nervous…",Michael
18694,This is Jim Halpert…,Hi.,Jim
18695,"Okay, sorry.",I’m joking.,Michael
18696,Great.,Okay.,Jim
18697,"Well, who needs him. Guess it’s just you and me, Dwight.","Correction. Just you. Alright, meeting. Multi-function room.",Dwight
18698,"So, why did you and Karen break up? Was it the sex?",What?,Jim
18699,"You know what? You know what, uh, Nard dog? There is an option in the contract that allows me to back out within 30 days of signing. So, I would like to exercise that option.","No, Jan! Please do not listen to this boob! Remember Clark. He gave you everything. Everything.",Dwight
18700,"I’m sorry. You guys have probably noticed my stomach’s a little more sensitive lately. So, if you wouldn’t mind wearing a little less perfume… and if your lunch is especially pungent, maybe have it in the break room?",We would really appreciate it.,Jim
18701,Okay.,Okay.,Jim
18702,Are we in danger?,"There’s no time to think about if this is real. Just, shh, everybody.",Michael
18703,What are you doing here?,I just wanted to see you!,Pam
18704,"Uh, I’d like to sit in on that meeting is it happening right now?","No, it’s in like ten minutes.",Michael
18705,"Because he’s mean. He’s, he’s like a really mean-spirited guy. He talks about how gay Oscar is…",Mm-hmm.,Jim
18706,"Alright, thanks alot, David.","Talk to you later– Okay, you didn’t let me say good-bye. Alright, I am looking forward to this.",Michael
18707,Die!,"Nice try Goldenface, but you forgot one thing, to kill me.",Michael
18708,No. No. No.,Who tipped you over? Was it Phillip?,Dwight
18709,Done. Explain.,The new guys. Dwight Jr is after my job. Yeah. There is a shark hiding inside that adorable little cherub.,Dwight
18710,Nope. Different movie.,The Sting. The Sting.,Dwight
18711,"Oh, you’re gonna face far greater problems than I can possibly help you with.","Sounds good. Okay, let’s go.",Michael
18712,"Nice try, Jim. Your pranks have never worked in the past and they’re not going to work today.","OK, first of all, they’ve mostly worked, so-",Jim
18713,"She’s probably going to, cause they sit next to each other.","Yeah, they used to.",Michael
18714,What shape?,… Square is fine.,Pam
18715,Thank you.,You’re welcome.,Pam
18716,Got a call about a problem up here.,Did somebody call Hank?,Pam
18717,"Michael, I have never-",David!,Michael
18718,"Dude, are you kidding me? No. That one says, “I am so lame.” Know which one I want? There’s one that sounds like a jackhammer. Just really grabs your attention. It’s like… You know what I’m talking about?",Do you mean vibrate?,Jim
18719,What?,Wow. Psychopath.,Jim
18720,"I’m… returning your call, you said it was urgent.","It is urgent, I just wanted to call and wish you a happy birthday.",Michael
18721,"Hey Pam, I really like your glasses.","Oh, thanks.",Pam
18722,"Uh, I think we should just drop it… ’cause obviously he doesn’t want to talk about it.","I don’t deserve this, guys.",Michael
18723,I love working here and I do not want to leave.,He doesn’t love it that much. Wouldn’t be such a bad thing for him to be fired.,Michael
18724,It’s a medical thing.,Just…you good?,Jim
18725,"I, barely know him…",I want Michael to take me…,Dwight
18726,"You wanna take Darryl, Phyllis, Toby, Angela and Oscar?",Yes.,Dwight
18727,"You, and at six foot six, from the University of North Carolina, Jiiiiim Halpeeeeert.","That’s pretty funny. Hey you know what? Did I drop my, uh…",Jim
18728,"Hi, how are ya?","Ohho! I’m good! Don’t you just love paper, and things about paper!",Pam
18729,"I’m sorry, you’re gonna have to put your clothes back on, people are trying to eat.",Ahh! I can’t-,Dwight
18730,We should probably get back.,"Mmm-mm. I’m probably just gonna stay here for a while, say I got lost.",Pam
18731,"Alright, my turn.","Oh, um, it’s just, I didn’t, I didn’t have a lot of time, so that’s just a place holder.",Pam
18732,"I usually love babies, but when I held Astrid I just felt… shortchanged.",Phyllis? Could you take-.,Michael
18733,Wow.,Sounds like fun. You guys would love it.,Michael
18734,Everyone from work is here. We weren’t planning on that.,Nope.,Jim
18735,Thanks!,"So, how was the resort? Did you ski a lot?",Jim
18736,"Nope. I didn’t, but let’s go inside and I can call him right now.","You can’t, I locked the office from the inside when we left.",Pam
18737,I’d like to lodge a complaint.,I’m sorry to hear about that. Who is this about?,Jim
18738,…Dwight is banning us from our bathroom.,"Okay, well, that’s just ridiculous, so just don’t, I-I don’t have time for this right now.",Michael
18739,Hey.,What are you- You’re here early.,Dwight
18740,"Attaboy. Good. Now, chill.","Okay, okay. But let’s just say that Jim was lying about jury duty. You would have to fire him, right?",Dwight
18741,That’s what she said. Pam?,Uh… my mother’s coming.,Pam
18742,I’m sorry I didn’t like your crappy doodles. I drew a butt. Big deal. Butts are funny.,"Well, I didn’t think that butt was funny.",Pam
18743,Yeah!,The pressures of my office are insane.,Michael
18744,Okay. Roy.,Warehouse guy. Doesn’t count.,Dwight
18745,I sell more paper than anyone.,"No, no, no, no, no.",Michael
18746,I am.,Stop acting like an idiot!,Dwight
18747,Okay…that’s different.,"Oh, that’s different, is it? Okay…thief. You better check your things, people. In fact, where are my keys? Oh, there in my pocket. False alarm. Okay. So…you’re gonna be workin’ here?",Dwight
18748,You want a picture of me?,"I would, could you just stand over here? That would be great Just a little something to remember the trip by. A little to your left",Michael
18749,I wasn’t really sure which one of you is Chuck.,"Yeah, no, it seems to be going great. Andy got beat up by a fifth grade girl?",Jim
18750,Let’s hear it.,Assistant regional manager.,Dwight
18751,"Ten year fixed, over thirty. Thirty year total.","Ho, thirty years.",Dwight
18752,Yeah.,This is from all of us.,Pam
18753,It’s unbelievable!,Excuse me! May I have your attention please? There has been an accident on 84 West. Cars have skidded off the road into the safety railing. Several cars have flipped. There is broken glass everywhere. Several people are injured.,Dwight
18754,Just call me when you’re done.,Sure.,Jim
18755,Spamster!,"Um, Pam plus Spam plus…?",Pam
18756,"Hey, guys! Fun thing. The index cards on your desk are resolution cards. You write your New Year’s resolution on them, I’ll collect them, and then display them on… da-da-da-da-da! This! Resolution board.",Wow. Did your baby draw that?,Dwight
18757,You’re not going to get my permission on this.,I know that. Don’t you think I know that?,Dwight
18758,"Yeah. Listen, have a nice weekend.","Yeah, definitely. You too. Enjoy it. You know what, just come here.",Jim
18759,Chunky monkey.,Too expensive.,Michael
18760,"No, it’s fine. I told you it wouldn’t break. You could throw it all day long.",That is so cool. Thanks Dwight!,Pam
18761,Eleven months.,Perhaps.,Dwight
18762,Ahh! Dwight!,"And you should take breaks more often, I’ve been waiting there for 45 minutes.",Dwight
18763,"This close. Dwight, may I speak with you for a minute?",I’m busy.,Dwight
18764,Ten percent?,Yeah?,Michael
18765,She can. But a lot of parents choose to have the baby spend the first night in the nursery to get some rest. You’ve been through a lot.,I think we’ll be okay.,Jim
18766,Okay.,Um…,Michael
18767,"Oh, my God! It’s the first snowfall of Christmas. Is that just so magical for you, little girl? Can you not wait to have a hot chocolate, and cuddle up with Papa and tell him about all your Christmas dreams, hmm? It’s not even a real snow. Look, it’s a dusting. Pitiful.","Hey, Dwight.",Jim
18768,"Teri, Stanley’s wife. She’s at an interior decorating expo in Philly. Stanley hates crowds, kids, and music. I think you should check your facts.",...,Michael
18769,Nice.,Very nice.,Michael
18770,Is that your office?,"Yes, Jim. And with a little tweaking, it becomes a different office. We lure Danny to it and watch him sell.",Dwight
18771,Is that Nellie?,Don’t let-shh!,Dwight
18772,"Come on, man. I mean, did Trevor do that? Did Rolf do that?","Oh, you think they’re my only friends? I’ve got way more friends than that, and they’re all better than the losers who work here.",Dwight
18773,Thanks.,"Wait, wait. Check one more time.",Michael
18774,Because you have embarrassed me for the last time today. Got it?,I’m not– I’m not following you.,Dwight
18775,I know. I suck.,"Yes, you do.",Dwight
18776,It’s nice.,You and the misses should join us at Sandals Jamaica next Christmas.,Michael
18777,Here’s an accounting question for you: what does one fiance plus one lover equal? Answer: one whore.,"Okay, knock it off, Rolph.",Dwight
18778,"Actually, the distractions are good. I mean, I don’t think I’m going to make it until midnight if I’m just sitting here thinking about it.","Distractions are good! That means conference room, five minutes! No, no, five seconds! Right now, right now! Conference room! Topic, potpourri! Let’s go!",Michael
18779,"How many of you know the meaning of the Jamaican term, Hakuna Matata?",Are you stoned?,Jim
18780,That’s what she…,No.,Jim
18781,"Uh, that is so stupid. What if he gives it to you?",I win.,Jim
18782,… still burned in my eyes.,I can imagine.,Jim
18783,You know what? I really think the whole thing is just gonna blow over in like a week or two.,You’re right. It will blow over. But it’s not… going to take… a week or two. Do you know what this is for?,Michael
18784,You mean the elevator that takes you down into the mineshaft? It’s not really a ride.,"Well, it says here that it’s a 300ft drop.",Michael
18785,I don’t think you understand how jeopardy works.,"Oh, right, I’m sorry. What is: we are fine?",Michael
18786,Hey… you two.,"Hey. So now that we are dating, uh, we just wanted to know if we had to sign one of those ‘we’re dating’ things for the company.",Jim
18787,Yeah. C’mon we’ll meet halfway. You’ll be back for your 4 o’clock class.,I’m gonna write you both up for not working.,Dwight
18788,Hey Jim.,Toby.,Jim
18789,It’s a little sad. Michael and I just started dating. He wants me to stay and get a job around here as a baker. Or a baker’s helper.,"This is gonna be awesome. This is gonna be awesome. I’ve decided that on my drives to Nashua, I am going to learn French, the language of love. And on my drives back, I am going to learn Spanish; what the cleaning crew speaks.",Michael
18790,That is my stapler.,"No, no, no. Do not take it out. You have to eat it out of there, because there are starving people in the world which I hate, and it is a waste of that kind of food.",Michael
18791,Well there’s a lot of seats in the annex.,"So you wouldn’t mind permanently relocating, so that Packer can take this desk here.",Michael
18792,Or a gong.,Go to my car. Open the trunk. Inside you will see many pelts. Under the smallest one is a case. Inside that case is a bear horn. Bring it to me.,Dwight
18793,But do you think it could be famous? Like in a car commercial or something?,Not really. It’s kinda weird that a grown man is singing from the point of view of a little girl.,Pam
18794,Michael stop.,Mmmmm…,Dwight
18795,"Okay, well, let’s… . let’s kind of take it a little slower.","Hey, Michael. Um… Ryan needs his number for the count off.",Dwight
18796,"Oh my god! I love it! Uh, I—Nellie, this is brilliant! Hey!",Hey! Can I talk you? For a second?,Jim
18797,"If you do jump, I want you to reach for the sky.",Hey!,Pam
18798,"Ok, Dwight, would you like to say a few words to everybody… about loyalty?","Thank you Michael. I just want to say, to the few of you who will remain under my employ, that I intend to lead you into the black! With ferocity!",Dwight
18799,Mm-hm.,Did you get lucky? Oh! Boink!,Michael
18800,They’re so not.,Besides my shirt tail covered most of it so…,Michael
18801,"Oh, that’s not advice. What advice sounds like is this: umm, don’t ever bring your purple belt to work because someone might steal it.","Ok, give that back to me.",Dwight
18802,No rhyming!,Not really a rhyme.,Jim
18803,Oh ho ho! What?,I said happy birthday.,Pam
18804,"No, what I’m saying is…","No, no.",Jim
18805,Thanks so much Earl.,"Wow, simultaneous sale.",Jim
18806,Everything’s fine.,We can relax.,Pam
18807,"Oh, that’s ridiculous.",What is it?,Michael
18808,What’s your mission statement?,Mmmm-My mission is stated as follows: I will not be beat. I will never give up. I am on a mission. That is the Michael Scott guarantee.,Michael
18809,You paint very bad–,"Shut up, Hide!  I mean, do you think Kevin cares what people think about him– or Creed or Meredith? Oh my gosh, these are my role models now. You know what? I’m okay with that.",Pam
18810,You have all of our attention just by screaming anything.,That’s good to know.,Michael
18811,Just relax.,"Yup, I’m good, whew. Wow, I feel like a human juicebox. Hawaiian blood punch.",Michael
18812,"Uh, Holly Flax, she comes from the Nashua branch.",What? What?,Michael
